"state_abbreviation","state","district","state_district","district_id","i","candidate_name","party","primary_votes","primary_percent","general_votes","general_percent","TotalPop","discuss","discussOppose","reducetax","reducetaxOppose","CO2limits","CO2limitsOppose","localofficials","localofficialsOppose","governor","governorOppose","congress","congressOppose","president","presidentOppose","corporations","corporationsOppose","citizens","citizensOppose","regulate","regulateOppose","supportRPS","supportRPSOppose","drilloffshore","drilloffshoreOppose","drillANWR","drillANWROppose","fundrenewables","fundrenewablesOppose","rebates","rebatesOppose","mediaweekly","mediaweeklyOppose","gwvoteimp","gwvoteimpOppose","teachGW","teachGWOppose","priority","priorityOppose","happening","happeningOppose","human","humanOppose","consensus","consensusOppose","worried","worriedOppose","personal","personalOppose","harmUS","harmUSOppose","devharm","devharmOppose","futuregen","futuregenOppose","harmplants","harmplantsOppose","timing","timingOppose","affectweather","affectweatherOppose","lcv_score"
"MI","Michigan","04","Michigan_04","MI 04","(I)","Moolenaar, John","R","80290",1,"178510",0.626241010349062,556281,31.454,68.267,64.045,35.622,67.827,31.61,48.876,15.595,50.408,15.54,56.642,19.097,56.752,11.818,70.258,9.473,60.924,11.564,74.089,24.822,61.878,37.053,55.347,43.916,31.994,68.128,86.193,13.242,82.268,17.091,23.562,76.154,51.959,38.386,75.105,24.954,44.482,24.268,67.669,13.537,54.336,36.337,50.693,28.53,56.663,43.441,35.449,53.888,54.392,34.129,58.849,26.105,66.769,21.499,67.391,20.649,51.946,48.054,61.374,6.97,14
"MI","Michigan","05","Michigan_05","MI 05","(I)","Kildee, Daniel T.","D","73996",1,"164502",0.595131198604986,528592,31.151,68.616,68.208,31.151,68.454,31.026,52.765,14.212,53.027,13.823,58.71,16.447,58.998,10.064,69.59,9.511,61.755,10.735,74.614,24.47,64.384,34.08,52.875,46.28,33.321,65.523,86.291,13.052,82.623,16.363,21.158,78.306,52.891,36.855,76.346,22.785,48.621,22.296,69.578,12.868,55.621,34.361,47.33,27.332,59.522,40.587,39.811,49.252,58.508,29.977,62.147,22.637,69.054,18.193,68.865,19.202,55.635,44.365,63.211,6.179,97
"MI","Michigan","06","Michigan_06","MI 06","(I)","Upton, Fred","R","64512",1,"147436",0.502443446315746,553665,32.893,66.643,66.08,33.4,67.093,32.089,50.635,14.728,51.94,14.984,57.827,18.178,57.708,12.126,69.626,9.46,61.774,11.555,74.98,23.709,64.088,34.16,51.011,48.239,31.528,67.573,86.492,12.73,82.76,16.092,24.213,75.406,52.209,36.881,76.902,22.966,45.853,25.326,67.481,14.787,55.534,32.761,51.639,25.017,55.969,44.198,38.477,52.145,58.096,32.338,61.822,25.338,69.388,19.271,68.912,19.695,49.842,50.158,61.427,6.637,45
"MI","Michigan","07","Michigan_07","MI 07","(I)","Walberg, Tim","R","69248",1,"158730",0.537958381346167,550646,29.914,69.71,63.776,35.896,64.655,34.903,47.987,15.501,49.889,15.27,53.875,19.058,54.885,11.774,68.265,9.645,59.627,11.619,73.622,25.099,64.552,32.915,55.879,42.249,32.695,66.372,85.508,13.711,81.555,17.341,21.973,77.597,50.471,39.059,73.732,26.151,42.816,26.94,64.693,15.019,52.949,35.737,49.757,29.246,53.914,45.781,36.191,54.944,55.011,35.441,59.087,27.199,66.659,22.394,67.06,23.225,48.324,51.676,59.892,6.77,10
"MI","Michigan","08","Michigan_08","MI 08",NA,"Slotkin, Elissa","D","57819",0.706704149605818,"172880",0.506099363862843,574571,34.597,64.967,66.216,33.389,69.484,30.065,50.479,15.502,50.895,15.994,58.75,18.837,57.806,11.658,68.339,9.574,61.877,11.061,74.58,24.776,66.781,31.499,54.204,45.439,32.416,67.303,86.99,12.571,82.685,16.902,25.763,73.523,53.029,37.367,76.107,23.263,45.914,23.697,71.762,13.062,56.805,32.971,53.681,28.56,58.526,41.622,39.334,53.563,58.873,33.443,62.961,25.775,69.879,21.139,69.667,21.926,52.848,47.152,63.326,6.656,97
"MI","Michigan","09","Michigan_09","MI 09",NA,"Levin, Andy","D","49612",0.524157166855078,"181734",0.596704130179963,574053,32.767,66.977,68.265,31.115,69.183,30.27,51.163,14.485,52.135,14.053,57.867,17.73,57.85,10.248,70.619,8.898,62.543,10.396,75.383,23.765,64.306,35.349,56.192,42.788,34.128,65.228,87.145,12.249,83.734,15.609,22.84,76.453,51.762,37.777,76.939,22.742,47.171,22.608,70.568,11.863,54.978,33.201,51.869,27.52,59.337,40.771,38.823,50.394,56.779,32.722,61.156,24.097,70.387,17.085,68.458,20.404,55.23,44.77,62.927,6.341,100
"MI","Michigan","10","Michigan_10","MI 10","(I)","Mitchell, Paul","R","81867",1,"182808",0.603199324235145,560392,30.667,68.945,61.466,38.264,64.791,34.509,45.835,16.753,47.106,17.423,53.315,20.987,53.77,13.409,68.023,10.554,59.003,12.508,72.494,26.373,60.181,38.807,59.092,39.953,36.406,63.267,85.167,14.229,81.27,17.95,22.233,77.171,47.356,42.217,72.476,27.559,42.168,28.344,66.283,15.871,49.239,38.39,48.469,29.694,53.082,47.002,34.703,55.999,53.023,37.727,57.048,29.18,65.531,22.467,64.984,23.464,49.671,50.329,59.922,7.424,7
"MI","Michigan","11","Michigan_11","MI 11",NA,"Stevens, Haley","D","24309",0.269686480729548,"181912",0.518414025608362,568375,34.859,64.849,66.275,33.324,68.226,30.875,50.412,15.576,51.635,15.415,57.032,18.412,55.921,11.609,70.071,9.83,62.705,10.884,74.514,24.667,65.259,34.345,54.241,45.507,34.3,65.401,87.315,12.301,83.501,16.163,23.901,75.601,49.554,40.201,76.948,23.044,45.036,25.884,65.981,15.478,55.495,33.613,51.731,30.587,58.348,41.754,37.785,54.338,56.161,36.606,61.666,26.876,68.984,21.87,68.856,22.545,48.842,51.158,62.276,6.963,93
"MI","Michigan","12","Michigan_12","MI 12","(I)","Dingell, Debbie","D","103278",1,"200588",0.680817844875572,560988,36.499,63.234,70.04,29.243,75.074,24.084,56.915,12.2,58.46,10.93,65.598,13.827,64.598,8.545,75.654,7.189,67.205,8.913,78.682,19.98,68.696,30.072,47.385,51.162,25.452,74.88,88.521,10.643,84.643,14.671,25.439,73.98,57.151,32.458,79.442,20.209,55.851,19.127,74.325,9.359,63.134,27.923,59.803,21.711,66.6,33.538,41.968,48.998,63.495,26.794,68.469,19.371,74.2,14.886,74.428,16.251,59.431,40.569,68.163,5.2,97
"MI","Michigan","13-FULL TERM","Michigan_13","MI 13",NA,"Tlaib, Rashida","D","27841",0.311696017733792,"165355",0.842362925944605,511751,33.746,65.956,77.763,21.287,77.273,22.037,62.338,9.59,62.737,9.62,67.757,10.043,67.968,6.106,73.29,7.479,69.08,7.782,80.113,18.083,71.326,26.861,47.728,50.426,26.344,72.496,88.137,10.642,84.162,14.75,17.739,81.502,60.232,28.537,85.143,14.377,59.965,12.682,75.015,5.451,61.311,28.506,54.303,16.853,66.977,33.104,49.558,35.332,65.474,19.089,67.713,13.698,73.19,10.691,74.315,11.877,65.135,34.865,69.125,3.808,97
"MI","Michigan","14","Michigan_14","MI 14","(I)","Lawrence, Brenda","D","106464",1,"214334",0.808825860208156,533208,33.787,66.039,77.703,21.401,78.159,21.056,61.839,9.903,62.283,9.638,67.605,10.221,65.715,6.028,75.855,6.809,69.468,7.042,80.344,18.12,73.565,24.805,50.477,48.448,26.199,72.585,88.596,10.416,85.469,13.633,18.043,81.089,61.228,29.166,85.654,13.991,60.735,12.898,77.068,5.534,61.212,28.889,55.45,17.818,66.284,33.786,51.894,33.197,66.818,18.549,70.059,12.297,74.997,9.938,76.231,10.039,62.903,37.097,72.979,3.751,90
"MN","Minnesota","01","Minnesota_01","MN 01",NA,"Hagedorn, Jim","R","25431",0.601020962824664,"146200",0.50126688175656,517069,32.743,67.049,65.578,33.802,66.601,32.324,47.611,16.185,44.529,16.17,54.485,19.016,55.506,11.033,68.658,9.696,62.386,11.01,72.01,26.788,63.682,34.206,54.818,44.295,34.088,64.394,85.186,14.158,80.295,18.69,25.069,74.632,48.633,40.091,74.769,25.045,42.214,24.94,70.693,14.258,54.914,35.407,52.526,28.189,60.021,40.012,36.187,56.384,55.757,35.804,62.527,26.756,70.311,21.614,70.424,22.817,47.832,52.168,60.84,6.643,7
"MN","Minnesota","02","Minnesota_02","MN 02",NA,"Craig, Angie","D","Unopposed",1,"177958",0.526552809733466,522935,34.717,65.299,66.889,32.356,67.356,32.196,49.396,15.562,48.601,15.264,57.755,17.789,56.625,10.506,68.398,8.477,63.602,10.02,73.213,25.813,66.966,31.928,53.662,46.446,31.206,68.573,86.842,12.504,82.73,16.37,26.78,72.743,51.087,38.557,74.762,24.251,44.68,26.074,70.513,13.754,53.098,35.33,59.745,26.114,60.524,39.516,35.982,55.987,56.893,34.479,65.44,24.607,73.114,17.824,71.839,21.166,52.501,47.499,65.892,6.262,97
"MN","Minnesota","03","Minnesota_03","MN 03",NA,"Phillips, Dean","D","56677",0.815954276500482,"202404",0.556132864769514,541347,37.638,62.343,68.047,31.106,70.723,28.819,53.233,14.779,51.084,14.212,62.069,17.587,60.905,10.53,73.353,8.605,66.084,10.489,75.785,23.12,69.942,28.736,52.753,47.336,30.832,69.154,87.797,11.513,82.638,17.035,27.899,71.808,53.473,36.829,79.328,20.513,48.608,23.584,74.046,11.681,59.513,31.882,61.44,25.109,65.217,34.834,39.948,53.932,61.537,31.98,69.492,22.454,76.176,16.859,75.278,18.369,54.419,45.581,66.912,6.158,97
"MN","Minnesota","04","Minnesota_04","MN 04","(I)","McCollum, Betty","D","86842",0.910331670090989,"216865",0.659938407980183,539043,39.553,60.383,71.878,27.145,74.644,23.71,54.864,13.212,53.347,12.411,64.569,13.97,63.784,8.276,74.942,7.257,68.723,8.8,77.565,20.609,71.492,25.535,42.604,55.708,26.433,73.225,87.981,10.602,84.28,14.04,28.704,70.631,56.935,32.675,79.32,19.265,53.923,16.843,77.547,8.238,63.091,27.366,67.144,19.535,70.646,29.402,44.5,46.767,65.148,26.16,72.413,17.588,78.583,13.212,78.85,12.562,60.332,39.668,70.931,5.194,97
"MN","Minnesota","05","Minnesota_05","MN 05",NA,"Omar, Ilhan","D","65237",0.482104983113726,"267703",0.779661461215408,559931,45.782,54.029,75.026,23.86,80.173,19.525,61.136,11.024,60.147,10.035,69.383,11.761,67.686,7.437,76.311,7.07,72.433,7.829,80.624,17.89,74.324,23.958,39.103,59.138,23.237,76.437,89.81,9.083,84.904,14.341,32.854,67.06,61.979,27.461,84.679,14.941,61.915,14.991,80.159,7.299,70.909,22.038,68.852,16.984,74.306,25.81,50.316,42.756,71.245,21.675,76.574,15.529,81.817,11.15,82.518,11.064,64.468,35.532,77.582,4.21,97
"MN","Minnesota","06","Minnesota_06","MN 06","(I)","Emmer, Tom","R","34250",0.765842314744421,"192931",0.611070991936046,523107,31.524,68.401,60.193,39.168,61.414,38.274,47.155,17.361,45.772,17.602,55.009,21.528,53.916,13.889,69.043,9,61.228,11.404,69.189,30.234,62.907,35.692,57.919,41.355,37.1,62.41,85.048,14.316,80.828,18.626,25.076,74.35,47.602,41.873,70.724,28.999,38.875,28.936,64.579,17.439,49.511,38.707,50.312,31.736,56.35,43.706,33.999,56.708,54.146,36.858,61.383,26.586,67.839,22.763,67.892,24.318,45.985,54.015,58.781,7.122,7
"MN","Minnesota","07","Minnesota_07","MN 07","(I)","Peterson, Collin C.","D","39990",1,"146672",0.521020642324046,508287,31.308,68.608,62.404,37.047,62.318,37.173,45.37,17.335,44.03,17.942,52.696,21.869,53.052,13.012,67.511,10.507,59.281,12.333,70.276,28.748,61.847,37.181,56.791,42.057,36.958,62.167,84.385,15.125,79.49,20.148,24.464,75.118,46.386,42.705,68.756,30.667,37.908,29.899,63.959,15.619,47.714,38.572,46.809,30.333,54.277,45.37,33.198,58.378,52.836,38.026,60.228,28.545,65.971,24.987,65.774,26.799,47.859,52.14,58.311,7.022,69
"MN","Minnesota","08","Minnesota_08","MN 08",NA,"Stauber, Pete","R","45391",0.899936555771442,"159364",0.507187845110451,524036,32.738,66.924,63.181,36.146,63.878,35.782,46.316,16.428,44.624,17.164,52.791,20.473,54.096,12.526,66.492,9.989,58.818,11.283,71.384,27.169,62.088,35.896,54.525,44.355,35.206,64.352,85.017,14.327,79.468,19.877,24.553,75.173,48.972,40.344,71.588,27.477,42.166,29.152,65.716,14.843,53.223,37.784,51.716,28.855,56.057,43.64,34.468,55.843,53.094,37.403,60.731,28.428,67.757,23.382,67.778,25.671,49.928,50.072,58.296,6.826,7
"MS","Mississippi","01","Mississippi_01","MS 01","(I)","Kelly, Trent","R","30151",1,"158245",0.669052642260095,578196,26.276,73.659,59.779,38.725,57.856,41.209,48.921,16.194,47.149,16.555,52.207,21.54,54.091,13.62,63.012,10.253,57.47,12.795,69.433,29.118,56.8,42.265,68.89,29.917,41.126,57.706,81.559,17.795,78.555,20.477,18.66,80.469,50.037,39.724,71.535,28.477,43.074,28.408,61.703,14.532,49.762,38.597,41.936,28.859,53.988,45.972,37.371,45.978,52.962,30.455,50.701,24.978,57.632,22.96,60.339,22.083,49.733,50.267,50.398,7.232,7
"MS","Mississippi","02","Mississippi_02","MS 02","(I)","Thompson, Bennie G.","D","31203",1,"158921",0.717868451840509,533381,28.007,71.889,70.175,27.967,67.054,31.417,56.414,11.95,55.375,11.895,60.336,13.682,61.981,7.964,68.094,8.018,63.184,9.535,73.956,24.012,64.044,34.651,61.383,36.108,34.305,64.232,83.876,14.724,80.23,18.584,14.901,83.975,55.647,33.172,81.818,17.293,52.767,16.046,65.741,7.517,51.51,36.254,45.338,20.994,60.823,39.133,45.783,34.596,59.165,21.623,57.05,16.811,62.903,15.005,65.799,13.985,57.101,42.899,58.471,4.848,86
"MS","Mississippi","03","Mississippi_03","MS 03",NA,"Guest, Michael","R","29157",0.448382979377797,"160284",0.623016196928531,572768,27.268,72.756,62.342,36.063,57.816,40.413,49.89,15.245,48.936,14.49,54.016,19.498,55.457,11.869,62.449,10.32,56.333,12.159,69.414,29.355,58.758,39.632,66.433,30.307,39.816,58.368,82.506,16.179,78.595,19.721,19.578,79.359,52.031,37.703,74.856,24.678,42.11,24.98,61.871,13.174,45.576,40.167,41.455,27.394,53.577,46.408,37.255,46.034,52.923,30.856,51.897,24.339,58.852,21.434,60.1,22.154,50.669,49.331,50.142,7.258,10
"MS","Mississippi","04","Mississippi_04","MS 04","(I)","Palazzo, Steven","R","30270",0.705035636092607,"152633",0.68221354120108,584109,27.074,72.845,57.774,40.774,57.384,42.007,46.342,16.609,45.913,17.119,50.168,23.553,51.897,15.594,61.971,12.206,54.368,13.573,68.581,30.91,57.413,42.475,67.321,31.488,38.327,60.985,81.45,18.104,78.106,21.638,20.207,79.003,47.763,40.636,70.296,29.761,40.973,31.436,61.309,18.778,47.827,39.783,41.696,29.898,51.21,48.82,34.498,54.596,51.787,37.445,50.458,31.3,57.978,26.524,57.46,29.219,44.458,55.542,50.032,7.329,7
"MO","Missouri","01","Missouri_01","MO 01","(I)","Clay, Lacy","D","81812",0.567040248407599,"219781",0.801024145785877,571327,37.391,62.59,76.577,22.095,76.642,22.319,62.717,10.565,61.353,10.095,67.363,10.997,67.655,6.799,74.575,8.531,69.154,8.451,79.249,18.503,71.097,25.315,49.18,48.534,26.282,72.904,88.649,9.849,84.824,13.146,22.871,76.626,62.206,28.453,85.156,14.225,61.368,12.266,76.879,6.394,60.904,28.274,62.308,16.666,69.8,29.903,48.312,38.37,67.106,20.851,71.35,14.89,77.754,10.199,78.139,11.085,61.521,38.479,72.117,4.214,97
"MO","Missouri","02","Missouri_02","MO 02","(I)","Wagner, Ann","R","72692",0.899008137722922,"192477",0.511817074662426,597874,35.47,64.508,64.8,34.371,66.532,32.974,51.59,16.671,48.769,16.7,58.148,19.865,56.821,12.04,70.1,11.115,63.374,12.044,73.031,25.75,67.055,30.478,53.108,46.28,34.604,64.632,86.202,13.184,81.936,17.15,27.377,72.22,51.396,39.483,77.075,22.714,46.912,22.186,73.013,12.563,54.575,35.048,56.24,27.119,61.826,38.222,38.291,52.746,57.479,34.205,64.232,24.667,72.769,17.85,71.735,19.634,54.729,45.271,63.803,7.206,7
"MO","Missouri","03","Missouri_03","MO 03","(I)","Luetkemeyer, Blaine","R","95449",0.798950346536311,"211243",0.650763382294953,599013,29.866,70.007,58.81,40.505,54.197,45.72,44.391,18.232,42.104,19.521,49.095,24.168,50.223,15.461,62.815,13.93,56.07,14.587,68.436,30.79,57.766,40.908,60.558,38.165,38.305,59.733,82.812,16.77,78.709,20.288,22.653,76.87,43.051,45.012,68.453,30.588,37.163,31.74,61.782,17.927,48.696,38.891,46.711,31.776,53.202,46.835,32.643,57.146,52.217,38.379,56.452,31.083,64.067,25.98,63.718,27.808,46.104,53.896,56.037,7.722,7
"MO","Missouri","04","Missouri_04","MO 04","(I)","Hartzler, Vicky","R","75274",0.737351474722541,"190138",0.648236032129171,593178,30.431,69.602,62.245,37.101,62.833,36.04,47.6,16.417,45.152,15.681,53.625,20.621,54.872,12.736,66.374,10.441,60.207,11.609,69.252,30.012,61.073,37.23,55.738,43.04,35.98,61.935,84.275,14.901,79.563,19.075,24.353,75.44,47.239,41.54,71.44,27.677,41.584,25.34,67.554,13.508,51.041,36.879,48.832,28.825,56.987,43.037,35.891,53.61,54.915,35.314,59.173,28.085,66.834,23.069,66.834,24.297,50.009,49.991,55.986,7.181,7
"MO","Missouri","05","Missouri_05","MO 05","(I)","Cleaver, Emanuel, II","D","87584",1,"175019",0.616730975914865,587478,33.151,66.905,68.673,30.092,68.379,31.054,56.966,13.598,53.368,13.001,60.674,15.285,61.633,9.229,69.581,8.92,64.154,10.191,75.554,22.463,66.851,31.266,54.068,43.436,31.394,67.549,86.253,12.429,81.671,16.657,23.467,76.24,56.854,33.932,78.284,21.023,51.27,17.051,71.334,10.868,57.896,31.566,54.978,22.333,63.751,36.359,44.257,45.578,62.262,29.258,67.206,23.11,73.712,17.515,73.539,18.954,56.755,43.245,65.667,6.006,97
"MO","Missouri","06","Missouri_06","MO 06","(I)","Graves, Sam","R","89675",1,"199796",0.65419159225825,586011,30.006,70.007,61.444,37.848,59.948,39.055,45.891,16.929,44.784,17.401,52.42,21.021,53.043,13.407,65.57,11.329,59.652,12.264,69.782,29.271,61.948,35.252,60.174,38.334,36.877,61.416,83.723,15.366,79.389,19.423,23.563,76.112,47.173,42.128,71.165,28.45,41.411,25.921,64.198,17.942,53.01,34.558,52.286,27.749,57.091,42.91,35.058,52.467,53.316,35.289,58.669,26.972,66.051,21.124,65.643,22.96,48.21,51.79,57.583,7.091,3
"MO","Missouri","07","Missouri_07","MO 07","(I)","Long, Billy","R","68826",0.651335774919797,"196343",0.662302879020425,596587,31.415,68.513,61.943,37.338,61.802,37.053,46.32,17.043,44.689,16.144,52.563,20.444,54.042,12.767,65.451,10.501,58.399,12.799,69.461,29.195,60.456,36.918,57.708,40.716,37.168,61.37,84.348,14.761,79.265,19.417,25.438,74.367,47.807,41.759,72.722,27.022,41.065,27.516,62.998,17.308,52.952,36.309,51.593,29.491,56.928,43.068,36.256,53.776,56.274,35.109,59.585,28.92,68.74,21.695,67.667,23.731,46.223,53.777,57.902,7.84,7
"MO","Missouri","08","Missouri_08","MO 08","(I)","Smith, Jason","R","91840",1,"194042",0.733898388420531,573533,29.156,70.459,60.806,38.583,59.594,38.971,45.704,17.772,43.953,17.504,51.656,22.449,52.512,13.989,66.593,11.112,57.909,12.7,68.712,29.218,59.066,37.857,56.559,41.334,36.531,62.703,82.947,15.904,78.192,20.032,22.139,77.567,46.831,43.129,72.847,26.796,42.13,26.935,63.389,16.699,51.655,37.8,48.439,30.302,54.863,44.645,33.751,54.778,53.46,35.936,57.218,28.719,64.936,23.248,65.247,23.231,48.209,51.791,55.011,7.869,0
"MT","Montana","00","Montana_00","MT 00","(I)","Gianforte, Greg","R","136372",0.999750744102166,"256661",0.508822987147641,814144,36.756,62.621,61.19,37.101,60.972,38.539,46.023,16.689,42.491,17.813,52.405,24.629,52.037,15.468,67.537,9.217,59.912,9.869,71.257,27.498,57.592,41.399,49.801,49.367,32.955,65.774,85.828,13.358,82.114,16.947,26.229,73.054,49.411,39.075,72.995,26.812,41.299,30.291,66.062,15.861,51.271,37.315,50.925,30.825,57.434,42.346,34.304,56.178,54.824,35.498,60.598,27.16,64.77,22.282,67.145,22.836,47.776,52.224,57.683,6.65,3
"NE","Nebraska","01","Nebraska_01","NE 01","(I)","Fortenberry, Jeff","R","51809",1,"141712",0.603592283873056,486454,32.662,67.329,63.459,35.839,62.552,37.115,46.976,17.347,45.034,17.554,53.222,21.059,53.664,12.878,65.887,11.141,59.623,11.535,71.31,27.697,61.157,38.026,52.99,47.362,34.891,65.137,85.46,13.769,80.836,18.374,25.034,74.619,48.821,40.952,72.713,26.949,41.745,27.213,68.581,15.235,51.134,37.25,52.358,29.054,58.71,41.372,36.477,55.377,56.585,34.552,62.33,26.014,68.352,21.437,67.564,23.854,50.399,49.601,61.476,6.867,34
"NE","Nebraska","02","Nebraska_02","NE 02","(I)","Bacon, Don","R","33852",1,"126715",0.509950298810793,486383,33.813,66.3,66.913,32.166,66.693,32.382,50.075,15.157,48.288,14.288,55.348,17.146,55.538,10.575,69.363,9.813,62.328,10.645,73.809,24.941,66.127,32.547,54.683,44.423,33.847,66.316,86.719,12.448,80.48,18.976,25.404,74.258,51.504,38.262,76.658,22.887,44.751,24.023,68.891,11.62,54.072,36.162,51.667,26.18,61.06,39.061,37.253,54.039,57.853,33.909,63.821,25.214,70.497,20.67,71.061,21.244,51.062,48.938,61.536,6.762,34
"NE","Nebraska","03","Nebraska_03","NE 03","(I)","Smith, Adrian","R","50878",0.657423439720894,"163650",0.767214867044219,459402,29.092,70.953,59.376,40.168,56.742,42.929,42.243,17.824,41.908,18.587,46.322,24.476,50.497,15.503,60.733,13.757,55.457,13.33,68.176,31.04,56.991,41.715,54.76,44.519,35.768,64.047,82.582,16.926,77.641,21.921,24.122,75.541,44.878,43.894,67.985,31.796,37.371,33.249,60.216,19.532,47.389,40.835,46.451,30.235,50.926,48.672,31.587,58.203,51.16,38.001,55.938,30.053,61.83,26.708,61.72,27.387,44.521,55.479,53.021,7.504,3
"NV","Nevada","01","Nevada_01","NV 01","(I)","Titus, Dina","D","20898",0.786911172195655,"100707",0.661671079690672,532698,38.234,61.614,70.644,27.756,72.479,26.505,56.644,13.806,55.428,13.751,62.089,16.021,61.983,9.906,69.482,10.553,65.083,10.204,75.469,23.412,64.019,34.943,51.142,47.129,29.987,68.557,85.417,13.769,81.496,17.662,25.254,73.914,60.142,29.007,81.82,17.691,58.306,19.45,75.112,9.078,62.077,27.461,57.047,21.376,68.233,31.825,50.651,38.763,66.063,21.995,68.087,17.174,73.437,13.752,73.533,15.033,61.419,38.581,68.09,4.842,96
"NV","Nevada","02","Nevada_02","NV 02","(I)","Amodei, Mark E.","R","42351",0.716890107657932,"167435",0.582307668230523,551562,36.795,63.111,62.267,36.521,66.405,32.827,49.717,16.691,48.611,17.759,57.407,22.081,56.382,13.337,69.37,10.016,60.919,11.22,72.485,27.003,60.589,39.332,51.296,47.351,33.862,65.596,85.566,13.444,81.618,17.425,28.517,70.884,54.607,35.294,74.942,25.244,48.661,27.15,72.764,12.451,56.379,33.101,53.541,28.729,62.743,37,41.095,50.219,59.918,30.182,63.097,23.394,67.873,20.034,69.162,20.808,55.593,44.407,62.215,6.325,10
"NV","Nevada","03","Nevada_03","NV 03",NA,"Lee, Susie","D","25475",0.66910934257873,"148501",0.518929440049202,612491,37.572,62.273,62.499,35.926,66.588,33.296,53.89,16.212,51.617,16.285,59.329,19.795,57.193,12.542,69.684,9.587,62.895,11.367,74.507,24.806,62.936,37.259,53.325,46.816,33.564,66.395,86.32,12.876,83.096,15.991,27.502,71.738,55.4,34.646,77.916,22.277,50.736,25.704,69.661,14.573,55.321,32.011,57.751,26.17,62.83,37.35,44.19,47.644,62.438,29.077,66.616,22.405,71.293,19.486,71.841,19.431,55.081,44.919,64.627,6.228,97
"NV","Nevada","04","Nevada_04","NV 04",NA,"Horsford, Steven A.","D","22730",0.617377841757884,"121962",0.519278914113459,551626,34.333,65.35,63.847,34.612,67.544,31.976,55.073,15.304,52.83,15.684,59.853,18.884,57.722,11.248,69.362,9.104,62.883,11.397,73.166,25.916,65.049,34.201,56.117,43.264,36.301,62.506,85.324,13.657,82.325,16.902,23.538,75.439,53.479,35.079,76.917,23.097,52.346,21.796,70.272,11.25,56.345,33.356,52.21,26.347,62.354,37.754,45.67,42.067,61.48,26.517,63.335,21.828,68.648,18.42,69.754,18.745,58.208,41.792,62.754,5.567,97
"NH","New Hampshire","01","New Hampshire_01","NH 01",NA,"Pappas, Chris","D","27350",0.423551639230019,"155884",0.535612065736894,544362,36.938,62.917,66.429,33.418,68.783,30.709,51.916,15.919,51.577,15.107,60.997,18.459,60.183,10.528,71.177,10.267,64.047,10.408,76.169,23.169,68.47,30.535,52.105,47.963,32.523,67.762,87.148,12.938,83.681,16.138,27.858,71.927,56.189,34.454,76.078,23.778,52.538,22.596,70.494,13.397,58.453,32.994,58.296,26.129,62.774,37.227,40,52.222,60.142,33.219,64.586,25.718,72.754,19.957,71.308,22.857,54.203,45.797,64.906,6.539,97
"NH","New Hampshire","02","New Hampshire_02","NH 02","(I)","Kuster, Ann McLane","D","55955",0.990915208613728,"155358",0.555435190647289,536701,37.1,62.742,67.166,32.659,68.509,31.009,48.911,15.955,48.686,15.236,58.618,18.734,58.566,11.258,71.126,10.038,64.141,10.425,76.065,23.59,67.32,31.92,52.532,47.214,33.485,66.386,87.19,12.866,83.544,16.552,27.939,71.83,55.381,34.833,77.237,22.722,46.999,22.328,70.636,12.117,56.254,34.241,56.06,25.732,62.067,37.935,36.909,55.402,59.028,33.006,64.351,24.01,72.562,18.812,71.767,19.751,51.943,48.057,66.488,6.355,97
"NJ","New Jersey","01","New Jersey_01","NJ 01","(I)","Norcross, Donald W.","D","39788",0.840988353659825,"169628",0.643949919899172,562957,33.053,67,73.899,25.055,73.768,25.161,57.914,13.699,57.303,13.244,65.286,14.113,63.366,8.35,73.585,8.488,67.162,9.319,78.752,20.031,68.743,29.642,51.213,48.249,31.872,68.008,87.394,11.758,85.023,13.99,22.707,76.434,58.903,31.012,81.143,18.315,54.694,15.299,76.295,7.867,60.367,31.962,60.324,21.656,68.978,31.01,46.593,41.687,64.234,25.487,70.501,17.398,75.955,12.998,77.18,13.602,59.65,40.35,71.425,4.668,97
"NJ","New Jersey","02","New Jersey_02","NJ 02",NA,"Van Drew, Jeff","D","16901",0.569863106075932,"136685",0.529042471251688,564524,33.042,66.753,70.352,28.664,70.701,28.584,56.031,14.913,56.159,13.997,64.614,15.461,63.743,9.037,74.807,8.017,65.871,10.088,77.126,21.527,67.394,30.929,51.283,48.96,33.697,66.319,85.992,13.242,83.542,15.154,21.886,77.324,56.386,33.276,78.295,21.25,52.199,17.821,70.974,11.054,58.205,32.378,56.134,25.46,66.646,33.305,42.389,46.544,62.911,28.084,68.722,20.237,73.419,15.674,74.651,15.352,57.404,42.596,65.754,5.367,93
"NJ","New Jersey","03","New Jersey_03","NJ 03",NA,"Kim, Andy","D","28514",1,"153473",0.500115682281059,583901,31.918,68.067,69.311,29.734,70.602,28.679,55.361,15.761,55.013,15.652,63.828,17.074,62.127,10.335,72.707,9.513,65.541,10.903,76.36,22.235,62.429,36.949,52.074,48.073,34.71,65.061,86.081,13.159,83.87,15.07,22.595,76.769,56.069,34.352,79.66,20.235,49.808,19.482,73.338,9.288,57.238,33.147,58.759,25.297,65.16,34.828,40.037,49.704,59.958,30.74,65.836,23.332,72.783,16.002,73.653,16.867,52.906,47.094,67.542,5.693,97
